Start: Train Size=1071 | Test R2=-46.2685 | Test MAE=25.7569
Iteração 102: Adicionadas 5 amostras | Incerteza Média Batch: 2.4601 | Test R2: -24.8130 | Test MAE: 19.3937
Iteração 103: Adicionadas 5 amostras | Incerteza Média Batch: 2.3036 | Test R2: -25.1610 | Test MAE: 19.5908
Iteração 104: Adicionadas 5 amostras | Incerteza Média Batch: 2.2131 | Test R2: -25.4110 | Test MAE: 19.7394
Iteração 105: Adicionadas 5 amostras | Incerteza Média Batch: 2.1230 | Test R2: -25.5438 | Test MAE: 19.8327
Iteração 106: Adicionadas 5 amostras | Incerteza Média Batch: 2.0940 | Test R2: -25.5831 | Test MAE: 19.8819
Iteração 107: Adicionadas 5 amostras | Incerteza Média Batch: 2.0303 | Test R2: -25.5336 | Test MAE: 19.8882
Iteração 108: Adicionadas 5 amostras | Incerteza Média Batch: 2.1070 | Test R2: -25.3805 | Test MAE: 19.8480
Iteração 109: Adicionadas 5 amostras | Incerteza Média Batch: 2.3658 | Test R2: -25.1375 | Test MAE: 19.7669
Iteração 110: Adicionadas 5 amostras | Incerteza Média Batch: 2.3154 | Test R2: -24.9052 | Test MAE: 19.6859
Iteração 111: Adicionadas 5 amostras | Incerteza Média Batch: 2.4073 | Test R2: -24.6727 | Test MAE: 19.6013
Iteração 112: Adicionadas 5 amostras | Incerteza Média Batch: 2.2430 | Test R2: -24.4842 | Test MAE: 19.5329
Iteração 113: Adicionadas 5 amostras | Incerteza Média Batch: 2.2758 | Test R2: -24.2146 | Test MAE: 19.4228
Iteração 114: Adicionadas 5 amostras | Incerteza Média Batch: 2.3662 | Test R2: -23.9376 | Test MAE: 19.3055
Iteração 115: Adicionadas 5 amostras | Incerteza Média Batch: 2.5021 | Test R2: -23.6194 | Test MAE: 19.1661
Iteração 116: Adicionadas 5 amostras | Incerteza Média Batch: 2.7139 | Test R2: -23.2578 | Test MAE: 18.9996
Iteração 117: Adicionadas 5 amostras | Incerteza Média Batch: 2.8385 | Test R2: -22.8840 | Test MAE: 18.8220
Iteração 118: Adicionadas 5 amostras | Incerteza Média Batch: 2.8477 | Test R2: -22.4787 | Test MAE: 18.6232
Iteração 119: Adicionadas 5 amostras | Incerteza Média Batch: 2.9350 | Test R2: -22.0377 | Test MAE: 18.3989
Iteração 120: Adicionadas 5 amostras | Incerteza Média Batch: 3.1101 | Test R2: -21.6122 | Test MAE: 18.1768
Iteração 121: Adicionadas 5 amostras | Incerteza Média Batch: 3.2179 | Test R2: -21.1701 | Test MAE: 17.9381
Iteração 122: Adicionadas 5 amostras | Incerteza Média Batch: 3.3147 | Test R2: -20.7323 | Test MAE: 17.6943
Iteração 123: Adicionadas 5 amostras | Incerteza Média Batch: 3.4725 | Test R2: -20.3101 | Test MAE: 17.4511
Iteração 124: Adicionadas 5 amostras | Incerteza Média Batch: 3.4409 | Test R2: -19.8771 | Test MAE: 17.2002
Iteração 125: Adicionadas 5 amostras | Incerteza Média Batch: 3.4699 | Test R2: -19.4705 | Test MAE: 16.9644
Iteração 126: Adicionadas 5 amostras | Incerteza Média Batch: 3.4393 | Test R2: -19.0491 | Test MAE: 16.7229
Iteração 127: Adicionadas 5 amostras | Incerteza Média Batch: 3.4339 | Test R2: -18.6177 | Test MAE: 16.4763
Iteração 128: Adicionadas 5 amostras | Incerteza Média Batch: 3.4802 | Test R2: -18.1846 | Test MAE: 16.2280
Iteração 129: Adicionadas 5 amostras | Incerteza Média Batch: 3.4907 | Test R2: -17.7616 | Test MAE: 15.9825
Iteração 130: Adicionadas 5 amostras | Incerteza Média Batch: 3.5270 | Test R2: -17.3516 | Test MAE: 15.7405
Iteração 131: Adicionadas 5 amostras | Incerteza Média Batch: 3.5244 | Test R2: -16.9405 | Test MAE: 15.4965
Iteração 132: Adicionadas 5 amostras | Incerteza Média Batch: 3.5364 | Test R2: -16.5588 | Test MAE: 15.2661
Iteração 133: Adicionadas 5 amostras | Incerteza Média Batch: 3.5355 | Test R2: -16.1907 | Test MAE: 15.0382
Iteração 134: Adicionadas 5 amostras | Incerteza Média Batch: 3.5810 | Test R2: -15.8616 | Test MAE: 14.8269
Iteração 135: Adicionadas 5 amostras | Incerteza Média Batch: 3.5813 | Test R2: -15.5759 | Test MAE: 14.6365
Iteração 136: Adicionadas 5 amostras | Incerteza Média Batch: 3.5896 | Test R2: -15.3192 | Test MAE: 14.4601
Iteração 137: Adicionadas 5 amostras | Incerteza Média Batch: 3.7498 | Test R2: -15.1143 | Test MAE: 14.3305
Iteração 138: Adicionadas 5 amostras | Incerteza Média Batch: 3.9382 | Test R2: -14.9567 | Test MAE: 14.2428
Iteração 139: Adicionadas 5 amostras | Incerteza Média Batch: 4.1753 | Test R2: -14.8498 | Test MAE: 14.1986
Iteração 140: Adicionadas 5 amostras | Incerteza Média Batch: 4.4647 | Test R2: -14.8059 | Test MAE: 14.2046
Iteração 141: Adicionadas 5 amostras | Incerteza Média Batch: 4.7789 | Test R2: -14.8415 | Test MAE: 14.2731
Iteração 142: Adicionadas 5 amostras | Incerteza Média Batch: 5.1427 | Test R2: -14.9701 | Test MAE: 14.4052
Iteração 143: Adicionadas 5 amostras | Incerteza Média Batch: 5.2731 | Test R2: -15.2005 | Test MAE: 14.5981
Iteração 144: Adicionadas 5 amostras | Incerteza Média Batch: 5.4743 | Test R2: -15.5338 | Test MAE: 14.8586
Iteração 145: Adicionadas 5 amostras | Incerteza Média Batch: 5.4187 | Test R2: -15.9478 | Test MAE: 15.1566
Iteração 146: Adicionadas 5 amostras | Incerteza Média Batch: 5.0201 | Test R2: -16.4376 | Test MAE: 15.4777
Iteração 147: Adicionadas 5 amostras | Incerteza Média Batch: 4.5726 | Test R2: -16.9550 | Test MAE: 15.7952
Iteração 148: Adicionadas 5 amostras | Incerteza Média Batch: 4.3121 | Test R2: -17.4575 | Test MAE: 16.0877
Iteração 149: Adicionadas 5 amostras | Incerteza Média Batch: 4.0985 | Test R2: -17.9504 | Test MAE: 16.3722
Iteração 150: Adicionadas 5 amostras | Incerteza Média Batch: 3.9034 | Test R2: -18.4035 | Test MAE: 16.6222
Iteração 151: Adicionadas 5 amostras | Incerteza Média Batch: 3.6480 | Test R2: -18.7610 | Test MAE: 16.8085
Iteração 152: Adicionadas 5 amostras | Incerteza Média Batch: 3.5202 | Test R2: -19.0742 | Test MAE: 16.9707
Iteração 153: Adicionadas 5 amostras | Incerteza Média Batch: 3.3129 | Test R2: -19.3294 | Test MAE: 17.1006
Iteração 154: Adicionadas 5 amostras | Incerteza Média Batch: 3.3478 | Test R2: -19.5729 | Test MAE: 17.2300
Iteração 155: Adicionadas 5 amostras | Incerteza Média Batch: 3.2016 | Test R2: -19.7901 | Test MAE: 17.3476
Iteração 156: Adicionadas 5 amostras | Incerteza Média Batch: 3.1962 | Test R2: -19.9813 | Test MAE: 17.4536
Iteração 157: Adicionadas 5 amostras | Incerteza Média Batch: 3.1676 | Test R2: -20.1742 | Test MAE: 17.5655
Iteração 158: Adicionadas 5 amostras | Incerteza Média Batch: 3.1667 | Test R2: -20.4112 | Test MAE: 17.7034
Iteração 159: Adicionadas 5 amostras | Incerteza Média Batch: 3.1806 | Test R2: -20.6678 | Test MAE: 17.8564
Iteração 160: Adicionadas 5 amostras | Incerteza Média Batch: 3.2220 | Test R2: -20.9876 | Test MAE: 18.0448
Iteração 161: Adicionadas 5 amostras | Incerteza Média Batch: 3.2264 | Test R2: -21.3318 | Test MAE: 18.2465
Iteração 162: Adicionadas 5 amostras | Incerteza Média Batch: 3.2396 | Test R2: -21.7064 | Test MAE: 18.4632
Iteração 163: Adicionadas 5 amostras | Incerteza Média Batch: 3.2313 | Test R2: -22.1073 | Test MAE: 18.6919
Iteração 164: Adicionadas 5 amostras | Incerteza Média Batch: 3.2956 | Test R2: -22.4776 | Test MAE: 18.9027
Iteração 165: Adicionadas 5 amostras | Incerteza Média Batch: 3.3006 | Test R2: -22.7456 | Test MAE: 19.0602
Iteração 166: Adicionadas 5 amostras | Incerteza Média Batch: 3.3476 | Test R2: -22.9130 | Test MAE: 19.1677
Iteração 167: Adicionadas 5 amostras | Incerteza Média Batch: 3.3917 | Test R2: -22.9924 | Test MAE: 19.2294
Iteração 168: Adicionadas 5 amostras | Incerteza Média Batch: 3.4863 | Test R2: -22.9897 | Test MAE: 19.2495
Iteração 169: Adicionadas 5 amostras | Incerteza Média Batch: 3.6236 | Test R2: -22.9104 | Test MAE: 19.2315
Iteração 170: Adicionadas 5 amostras | Incerteza Média Batch: 3.7616 | Test R2: -22.7502 | Test MAE: 19.1751
Iteração 171: Adicionadas 5 amostras | Incerteza Média Batch: 3.9072 | Test R2: -22.5226 | Test MAE: 19.0856
Iteração 172: Adicionadas 5 amostras | Incerteza Média Batch: 4.0588 | Test R2: -22.2351 | Test MAE: 18.9660
Iteração 173: Adicionadas 5 amostras | Incerteza Média Batch: 4.2648 | Test R2: -21.8912 | Test MAE: 18.8180
Iteração 174: Adicionadas 5 amostras | Incerteza Média Batch: 4.4856 | Test R2: -21.4981 | Test MAE: 18.6446
Iteração 175: Adicionadas 5 amostras | Incerteza Média Batch: 4.7201 | Test R2: -21.0529 | Test MAE: 18.4432
Iteração 176: Adicionadas 5 amostras | Incerteza Média Batch: 4.9735 | Test R2: -20.5817 | Test MAE: 18.2251
Iteração 177: Adicionadas 5 amostras | Incerteza Média Batch: 5.1807 | Test R2: -20.0708 | Test MAE: 17.9832
Iteração 178: Adicionadas 5 amostras | Incerteza Média Batch: 5.4324 | Test R2: -19.5212 | Test MAE: 17.7173
Iteração 179: Adicionadas 5 amostras | Incerteza Média Batch: 5.7109 | Test R2: -18.9423 | Test MAE: 17.4309
Iteração 180: Adicionadas 5 amostras | Incerteza Média Batch: 5.9744 | Test R2: -18.3479 | Test MAE: 17.1301
Iteração 181: Adicionadas 5 amostras | Incerteza Média Batch: 6.2472 | Test R2: -17.7952 | Test MAE: 16.8433
Iteração 182: Adicionadas 5 amostras | Incerteza Média Batch: 6.3487 | Test R2: -17.2963 | Test MAE: 16.5784
Iteração 183: Adicionadas 5 amostras | Incerteza Média Batch: 6.3047 | Test R2: -16.8455 | Test MAE: 16.3337
Iteração 184: Adicionadas 5 amostras | Incerteza Média Batch: 6.0812 | Test R2: -16.4347 | Test MAE: 16.1064
Iteração 185: Adicionadas 5 amostras | Incerteza Média Batch: 5.7427 | Test R2: -16.0569 | Test MAE: 15.8935
Iteração 186: Adicionadas 5 amostras | Incerteza Média Batch: 5.2847 | Test R2: -15.7036 | Test MAE: 15.6910
Iteração 187: Adicionadas 5 amostras | Incerteza Média Batch: 4.7260 | Test R2: -15.3673 | Test MAE: 15.4954
Iteração 188: Adicionadas 5 amostras | Incerteza Média Batch: 4.9144 | Test R2: -15.1501 | Test MAE: 15.3688
Iteração 189: Adicionadas 5 amostras | Incerteza Média Batch: 4.5723 | Test R2: -15.0775 | Test MAE: 15.3270
Iteração 190: Adicionadas 5 amostras | Incerteza Média Batch: 4.4314 | Test R2: -15.1286 | Test MAE: 15.3565
Iteração 191: Adicionadas 5 amostras | Incerteza Média Batch: 4.2940 | Test R2: -15.2561 | Test MAE: 15.4281
Iteração 192: Adicionadas 5 amostras | Incerteza Média Batch: 4.1504 | Test R2: -15.4425 | Test MAE: 15.5307
Iteração 193: Adicionadas 5 amostras | Incerteza Média Batch: 3.8628 | Test R2: -15.6729 | Test MAE: 15.6539
Iteração 194: Adicionadas 5 amostras | Incerteza Média Batch: 3.6473 | Test R2: -15.8758 | Test MAE: 15.7592
Iteração 195: Adicionadas 5 amostras | Incerteza Média Batch: 3.4042 | Test R2: -16.0522 | Test MAE: 15.8459
Iteração 196: Adicionadas 5 amostras | Incerteza Média Batch: 3.0967 | Test R2: -16.1522 | Test MAE: 15.8884
Iteração 197: Adicionadas 5 amostras | Incerteza Média Batch: 2.8779 | Test R2: -16.1715 | Test MAE: 15.8835
Iteração 198: Adicionadas 5 amostras | Incerteza Média Batch: 2.7562 | Test R2: -16.1530 | Test MAE: 15.8584
Iteração 199: Adicionadas 5 amostras | Incerteza Média Batch: 2.6346 | Test R2: -16.0572 | Test MAE: 15.7927
Iteração 200: Adicionadas 5 amostras | Incerteza Média Batch: 2.5664 | Test R2: -15.8946 | Test MAE: 15.6927
Iteração 201: Adicionadas 5 amostras | Incerteza Média Batch: 2.5839 | Test R2: -15.6673 | Test MAE: 15.5601
Iteração 202: Adicionadas 5 amostras | Incerteza Média Batch: 2.6385 | Test R2: -15.3793 | Test MAE: 15.3970
Iteração 203: Adicionadas 5 amostras | Incerteza Média Batch: 2.6317 | Test R2: -15.0541 | Test MAE: 15.2135
Iteração 204: Adicionadas 5 amostras | Incerteza Média Batch: 2.6536 | Test R2: -14.6919 | Test MAE: 15.0087
Iteração 205: Adicionadas 5 amostras | Incerteza Média Batch: 2.6489 | Test R2: -14.3035 | Test MAE: 14.7862
Iteração 206: Adicionadas 5 amostras | Incerteza Média Batch: 2.6535 | Test R2: -13.9090 | Test MAE: 14.5570
Iteração 207: Adicionadas 5 amostras | Incerteza Média Batch: 2.6731 | Test R2: -13.5242 | Test MAE: 14.3310
Iteração 208: Adicionadas 5 amostras | Incerteza Média Batch: 2.7169 | Test R2: -13.1320 | Test MAE: 14.0966
Iteração 209: Adicionadas 5 amostras | Incerteza Média Batch: 2.7808 | Test R2: -12.7348 | Test MAE: 13.8559
Iteração 210: Adicionadas 5 amostras | Incerteza Média Batch: 2.8999 | Test R2: -12.3331 | Test MAE: 13.6081
Iteração 211: Adicionadas 5 amostras | Incerteza Média Batch: 3.0279 | Test R2: -11.9268 | Test MAE: 13.3523
Iteração 212: Adicionadas 5 amostras | Incerteza Média Batch: 3.1738 | Test R2: -11.5148 | Test MAE: 13.0874
Iteração 213: Adicionadas 5 amostras | Incerteza Média Batch: 3.3507 | Test R2: -11.1018 | Test MAE: 12.8162
Iteração 214: Adicionadas 5 amostras | Incerteza Média Batch: 3.5801 | Test R2: -10.6852 | Test MAE: 12.5357
Iteração 215: Adicionadas 5 amostras | Incerteza Média Batch: 3.8078 | Test R2: -10.2657 | Test MAE: 12.2467
Iteração 216: Adicionadas 5 amostras | Incerteza Média Batch: 4.0464 | Test R2: -9.8534 | Test MAE: 11.9551
Iteração 217: Adicionadas 5 amostras | Incerteza Média Batch: 4.2907 | Test R2: -9.4493 | Test MAE: 11.6625
Iteração 218: Adicionadas 5 amostras | Incerteza Média Batch: 4.5395 | Test R2: -9.0857 | Test MAE: 11.3964
Iteração 219: Adicionadas 5 amostras | Incerteza Média Batch: 4.5983 | Test R2: -8.7983 | Test MAE: 11.1865
Iteração 220: Adicionadas 5 amostras | Incerteza Média Batch: 4.2662 | Test R2: -8.5741 | Test MAE: 11.0218
Iteração 221: Adicionadas 5 amostras | Incerteza Média Batch: 3.6623 | Test R2: -8.4362 | Test MAE: 10.9251
Iteração 222: Adicionadas 5 amostras | Incerteza Média Batch: 3.4345 | Test R2: -8.2755 | Test MAE: 10.8151
Iteração 223: Adicionadas 5 amostras | Incerteza Média Batch: 3.2554 | Test R2: -8.0974 | Test MAE: 10.6904
Iteração 224: Adicionadas 5 amostras | Incerteza Média Batch: 3.1840 | Test R2: -7.8962 | Test MAE: 10.5456
